Method,Bay,Buoy #,Day #,Replicate #,Sample Hour,Sample Period,Copper (µg/L),Date,Time
ICP,SAB,B5,D7,1,H8,Exposure,83.48494893,7/28/2019,14:10
ICP,SAB,B1,D7,1,H9,Exposure,73.75162547,7/28/2019,15:00
ICP,SAB,B2,D7,1,H9,Exposure,81.29231267,7/28/2019,15:03
ICP,SAB,B3,D7,1,H9,Exposure,98.13555,7/28/2019,15:06
ICP,SAB,B4,D7,1,H9,Exposure,81.7909328,7/28/2019,15:09
ICP,SAB,B5,D7,1,H9,Exposure,79.16536933,7/28/2019,15:11
ICP,SAB,B1,D7,1,H10,Exposure,69.61297067,7/28/2019,15:58
ICP,SAB,B2,D7,1,H10,Exposure,84.98404013,7/28/2019,16:00
ICP,SAB,B3,D7,1,H10,Exposure,86.16112827,7/28/2019,16:03
ICP,SAB,B4,D7,1,H10,Exposure,89.1636184,7/28/2019,16:06
ICP,SAB,B5,D7,1,H10,Exposure,76.15426373,7/28/2019,16:08
ICP,SAB,B1,D7,1,H11,Exposure,69.2586596,7/28/2019,16:59
ICP,SAB,B2,D7,1,H11,Exposure,77.2064276,7/28/2019,17:02
ICP,SAB,B3,D7,1,H11,Exposure,82.85601987,7/28/2019,17:05
ICP,SAB,B4,D7,1,H11,Exposure,78.00874293,7/28/2019,17:08
ICP,SAB,B5,D7,1,H11,Exposure,81.80816373,7/28/2019,17:10
ICP,SAB,B1,D7,1,H12,Exposure,68.1149564,7/28/2019,17:55
ICP,SAB,B2,D7,1,H12,Exposure,78.77875027,7/28/2019,18:00
ICP,SAB,B3,D7,1,H12,Exposure,81.63154667,7/28/2019,18:03
ICP,SAB,B4,D7,1,H12,Exposure,78.22520653,7/28/2019,18:06
ICP,SAB,B5,D7,1,H12,Exposure,69.94897387,7/28/2019,18:09
ICP,SAB,B1,D8,1,.,Exposure,63.94291667,7/29/2019,7:49
ICP,SAB,B2,D8,1,.,Exposure,77.02011813,7/29/2019,7:52
ICP,SAB,B3,D8,1,.,Exposure,76.9705792,7/29/2019,7:55
ICP,SAB,B4,D8,1,.,Exposure,78.22197573,7/29/2019,7:59
ICP,SAB,B5,D8,1,.,Exposure,70.899906,7/29/2019,8:02
ICP,ROB,B1,D8,1,.,Exposure,7.2272996,7/29/2019,8:35
ICP,ROB,B2,D8,1,.,Exposure,3.35,7/29/2019,8:40
ICP,ROB,B3,D8,1,.,Exposure,3.35,7/29/2019,8:46
ICP,ROB,B4,D8,1,.,Exposure,11.85165133,7/29/2019,8:52
ICP,ROB,B5,D8,1,.,Exposure,3.35,7/29/2019,8:57
ICP,ROB,B1,D9,1,H0,Exposure,3.35,7/30/2019,3:40
ICP,ROB,B2,D9,1,H0,Exposure,3.35,7/30/2019,3:45
ICP,ROB,B3,D9,1,H0,Exposure,3.35,7/30/2019,3:49
ICP,ROB,B4,D9,1,H0,Exposure,6.394830133,7/30/2019,3:53
ICP,ROB,B5,D9,1,H0,Exposure,3.35,7/30/2019,3:56
ICP,SAB,B1,D9,1,H0,Exposure,56.1609964,7/30/2019,4:19
ICP,SAB,B2,D9,1,H0,Exposure,71.79376067,7/30/2019,4:24
ICP,SAB,B3,D9,1,H0,Exposure,69.60973987,7/30/2019,4:30
ICP,SAB,B4,D9,1,H0,Exposure,62.1412072,7/30/2019,4:33
ICP,SAB,B5,D9,1,H0,Exposure,61.80628093,7/30/2019,4:37
ICP,SAB,B1,D9,1,H1,Exposure,73.9239348,7/30/2019,6:27
ICP,SAB,B2,D9,1,H1,Exposure,131.7315623,7/30/2019,6:31
ICP,SAB,B3,D9,1,H1,Exposure,70.04482093,7/30/2019,6:35
ICP,SAB,B4,D9,1,H1,Exposure,60.72503987,7/30/2019,6:38
ICP,SAB,B5,D9,1,H1,Exposure,86.6694408,7/30/2019,6:41
ICP,SAB,B1,D9,1,H2,Exposure,83.984646,7/30/2019,7:26
ICP,SAB,B2,D9,1,H2,Exposure,82.29709147,7/30/2019,7:30
